BLOCK,DAY,MONTH,YEAR,ROW,PLANT,FLOWER,Height,Width,Weight,Druplets,Crumbliness,Comments,CODE (block# added to front),TREATMENT,POLLEN_DONOR,POLLINATORS,VISIT1,VISIT2,VISIT3,VISIT4,VISIT5,VISIT6,VISIT7,VISIT8,VISIT9,VISIT10,VISIT11,VISIT12,VISIT13,VISIT14,VISIT15,VISIT16,VISIT17,VISIT18,VISIT19,VISIT20,VISIT21,VISIT22,VISIT23,VISIT24,VISIT25,VISIT26,VISIT27,VISIT28,VISIT29,Total visits,TOTAL TIME,COMMENTS
KD8_,19,1,2018,5_,9_,817,0,0,0.00,0,0,,KD8_5_9_817,V,,HB,HP18,HP25,HP8,HN42,HP23,HP3,HP6,HP4,,,,,,,,,,,,,,,,,,,,,,8,129,Snapped
KD8_,19,1,2018,5_,9_,818,0,0,0.00,0,0,,KD8_5_9_818,V,,HB,HP6,HP4,HP44,HP5,HP8,HP8,HP11,,,,,,,,,,,,,,,,,,,,,,,7,86,Snapped
KD6C_,19,1,2018,3_,6_,819,20.16,18.96,3.15,110,3,,KD6C_3_6_819,V,,Mixed,HP11,HP26,HP5,HP13,SP5,,,,,,,,,,,,,,,,,,,,,,,,,5,60,
KD6C_,19,1,2018,3_,6_,820,11.99,13.85,1.22,56,1,,KD6C_3_6_820,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD6C_,19,1,2018,3_,6_,821,11.08,14.19,1.08,49,1,,KD6C_3_6_821,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD6C_,19,1,2018,3_,6_,822,16.6,14.44,1.57,75,1,,KD6C_3_6_822,V,,Mixed,HP3,HP2,HP16,HP6,HP23,HP8,SP21,SP6,SP34,HP2,,,,,,,,,,,,,,,,,,,,10,121,
KD6D_,19,1,2018,30_,12_,823,11.29,17.09,1.04,20,1,,KD6D_30_12_823,V,,HB,HN57,HP39,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,96,
KD6D_,19,1,2018,30_,12_,824,18.55,17.62,2.82,70,2,,KD6D_30_12_824,V,,HB,HN43,HN27,HP6,HP7,HP6,HP4,HP7,,,,,,,,,,,,,,,,,,,,,,,7,100,
KD6D_,19,1,2018,30_,12_,825,19.52,17.98,3.37,97,3,,KD6D_30_12_825,V,,HB,HP58,HP44,HP6,HP17,HP4,HP61,HP25,HP3,HP6,,,,,,,,,,,,,,,,,,,,,9,224,
KD6D_,19,1,2018,30_,12_,826,18.89,17.68,2.58,55,2,,KD6D_30_12_826,V,,HB,HP4,HP3,HP3,HN51,HN60,HP5,HP3,HP59,,,,,,,,,,,,,,,,,,,,,,8,188,
KD6D_,19,1,2018,20_,5_,827,0,0,0.00,0,0,,KD6D_20_5_827,V,,HB,HP8,HP4,HP6,HP13,HP13,HP4,HP6,,,,,,,,,,,,,,,,,,,,,,,7,54,Eaten by caterpillars
KD6D_,19,1,2018,20_,5_,828,0,0,0.00,0,0,,KD6D_20_5_828,V,,Mixed,HP12,HP23,HP12,HP7,HP3,SP4,HP5,,,,,,,,,,,,,,,,,,,,,,,7,66,Eaten by caterpillars
KD6D_,19,1,2018,20_,5_,829,0,0,0.00,0,0,,KD6D_20_5_829,V,,HB,HP3,HP4,HP5,HP22,HN14,HP3,HP2,HP11,HP7,HP4,HP10,HP16,,,,,,,,,,,,,,,,,,12,101,Eaten by caterpillars
KD6C_,22,1,2018,1_,10_,830,20.6,20.09,3.61,77,1,,KD6C_1_10_830,V,,Mixed,SP8,HP4,HP15,HP3,HP19,HP20,HP23,,,,,,,,,,,,,,,,,,,,,,,7,92,
KD6C_,22,1,2018,1_,10_,831,13.09,16.12,1.52,44,1,,KD6C_1_10_831,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD6C_,22,1,2018,1_,10_,832,22.16,20.11,3.74,124,3,,KD6C_1_10_832,V,,Mixed,SP6,HP36,SN17,HP5,SP4,HP9,SP11,HP5,SP5,HP6,SP3,SP8,SN33,HP62,SP3,HP5,SP5,HP9,SP3,SP2,SP5,SP7,SP8,SP8,SP2,SP3,HP16,SP2,SP4,29,292,
KD6C_,22,1,2018,1_,10_,833,21.43,20.05,3.68,127,3,,KD6C_1_10_833,V,,Mixed,HP31,SP8,HP4,HP7,SP2,HP22,SP3,HP12,HP9,SP8,,,,,,,,,,,,,,,,,,,,10,106,
KD6C_,22,1,2018,3_,8_,834,15,15.1,1.55,36,1,,KD6C_3_8_834,V,,Mixed,SP3,HP3,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,
KD6C_,22,1,2018,3_,8_,835,16.94,15.86,1.96,70,2,,KD6C_3_8_835,V,,Mixed,HP39,HP5,HP3,SP20,SN21,HP4,SP1,SP2,SP5,HP3,SP9,SP6,,,,,,,,,,,,,,,,,,12,118,
KD6C_,22,1,2018,3_,8_,836,16.76,15.99,2.11,86,3,,KD6C_3_8_836,V,,Mixed,HN40,HP17,HP7,HP10,HP6,SP5,HN25,SN56,SP4,SP3,HP9,,,,,,,,,,,,,,,,,,,11,182,
KD6C_,22,1,2018,3_,8_,837,17.77,16.91,2.94,92,3,,KD6C_3_8_837,V,,Mixed,HP2,SP26,SP9,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,
KD6C_,22,1,2018,3_,8_,838,16.44,16.12,2.13,78,2,,KD6C_3_8_838,V,,Mixed,SP3,SP4,HP4,HP3,SP7,SP3,HP4,SN20,SP7,SP7,HP3,SN7,SP2,v2,HP4,,,,,,,,,,,,,,,15,80,
KD6C_,22,1,2018,5_,2_,839,20.47,18.22,3.57,96,3,,KD6C_5_2_839,V,,Mixed,SP10,SP9,SN8,HP6,SP7,HN12,SN8,HN28,SP4,SP2,SP3,SP8,HP3,HP2,HP6,SP6,10HP,HP4,SP3,HP8,,,,,,,,,,20,147,
