"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","Total.visits","TOTAL.TIME","variable","value","poll.sp","v.d","ord.v","log.vd","sqrt.vd"
"125","KD8_",22,1,2018,"3_","3_",856,17.85,19.82,2.99,45,1,"KD8_3_3_856","V","Mixed",6,65,"VISIT1","SP18","S",18,1,2.89037175789616,4.24264068711928
"127","KD8_",22,1,2018,"3_","5_",858,19.92,19.57,3.5,79,2,"KD8_3_5_858","V","Mixed",7,82,"VISIT1","HP6","H",6,1,1.79175946922805,2.44948974278318
"128","KD8_",22,1,2018,"3_","5_",859,21.37,21.1,4.49,113,3,"KD8_3_5_859","V","Mixed",16,174,"VISIT1","SP34","S",34,1,3.52636052461616,5.8309518948453
"129","KD8_",22,1,2018,"3_","5_",860,9.97,13.14,1.04,18,1,"KD8_3_5_860","V","Mixed",7,55,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
"130","KD8_",22,1,2018,"3_","8_",861,19.08,18.94,3.16,47,1,"KD8_3_8_861","V","Mixed",5,66,"VISIT1","HP4","H",4,1,1.38629436111989,2
"132","KD8_",22,1,2018,"3_","8_",863,22.41,20.39,4.42,107,3,"KD8_3_8_863","V","Mixed",14,253,"VISIT1","HP4","H",4,1,1.38629436111989,2
"133","KD8_",22,1,2018,"3_","8_",864,22.74,20.48,4.7,103,3,"KD8_3_8_864","V","SB",10,167,"VISIT1","SP13","S",13,1,2.56494935746154,3.60555127546399
"134","KD8_",22,1,2018,"3_","2_",865,19.69,20.27,3.71,58,1,"KD8_3_2_865","V","Mixed",3,35,"VISIT1","SP3","S",3,1,1.09861228866811,1.73205080756888
"135","KD8_",22,1,2018,"3_","2_",866,21.18,19.47,3.68,105,2,"KD8_3_2_866","V","Mixed",10,123,"VISIT1","HP4","H",4,1,1.38629436111989,2
"136","KD8_",22,1,2018,"3_","2_",867,21.45,19.92,4.09,95,2,"KD8_3_2_867","V","SB",16,185,"VISIT1","SP15","S",15,1,2.70805020110221,3.87298334620742
"138","KD8_",23,1,2018,"3_","15_",869,20.14,20.58,3.89,78,2,"KD8_3_15_869","V","HB",9,91,"VISIT1","HP6","H",6,1,1.79175946922805,2.44948974278318
"139","KD8_",23,1,2018,"3_","15_",870,21.71,20.59,4.65,106,3,"KD8_3_15_870","V","HB",6,67,"VISIT1","HP8","H",8,1,2.07944154167984,2.82842712474619
"140","KD8_",23,1,2018,"3_","11_",871,14.97,13.69,1.18,67,2,"KD8_3_11_871","V","Mixed",16,158,"VISIT1","SN31","S",31,1,3.43398720448515,5.56776436283002
"144","KD8_",23,1,2018,"3_","11_",875,14.22,14.02,1.25,73,1,"KD8_3_11_875","V","Mixed",8,46,"VISIT1","HN20","H",20,1,2.99573227355399,4.47213595499958
"145","KD8_",23,1,2018,"3_","11_",876,13.46,12.02,1.01,70,2,"KD8_3_11_876","V","Mixed",4,43,"VISIT1","HP15","H",15,1,2.70805020110221,3.87298334620742
"146","KD8_",23,1,2018,"5_","4_",877,16.68,20.42,3.43,61,2,"KD8_5_4_877","V","SB",8,73,"VISIT1","SP8","S",8,1,2.07944154167984,2.82842712474619
"148","KD8_",23,1,2018,"5_","4_",879,19.48,17.39,2.81,53,1,"KD8_5_4_879","V","Mixed",6,71,"VISIT1","SN26","S",26,1,3.25809653802148,5.09901951359278
"149","KD8_",23,1,2018,"5_","4_",880,21.99,18.99,4.2,94,3,"KD8_5_4_880","V","Mixed",8,130,"VISIT1","SP3","S",3,1,1.09861228866811,1.73205080756888
