"","Species","SHOOT","Grow.con","Block","Year","Date","Row","Plant.number","Tag","DONOR","TREATMENT","SPEC.COM","FS","TVN","Pick.date","Size","Fresh.wgt","Ripe.time","POLL","seed.number","Firmness","Dryness","variable","value","poll.sp","poll.type","v.d","ord.v","log.vd","spp"
"32","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-24","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H P 3","H","P",3,1,1.09861228866811,"B"
"33","EG","F","Ground","SFI",2017,"3/5/17",8,30,"SF-J-10","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
"34","EG","F","Ground","SFI",2017,"8/5/17",6,20,"SF-A-25","V","V","HB",1,1,"20/9/17",NA,0.23,135,1,NA,NA,"","Visitor1","H N 26","H","N",26,1,3.25809653802148,"B"
"35","EG","F","Ground","S1S",2017,"16/5/18",4,24,"Juan-8","V","V","HB",1,1,"6/8/18",NA,1.55,NA,1,NA,NA,"","Visitor1","H N 75","H","N",75,1,4.31748811353631,"B"
"36","EG","F","Ground","S1S",2017,"14/5/18",2,35,"Juan-1","V","V","HB",1,1,"31/8/18",NA,0.38,NA,1,NA,NA,"","Visitor1","H N 13","H","N",13,1,2.56494935746154,"B"
"37","EG","F","Ground","S1S",2017,"16/5/18",4,19,"R4 P19 16/5/18 (V6)","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"38","EG","F","Ground","S1S",2017,"11/5/18",6,39,"R6 P39 11/5/18 (V1)","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 14","H","N",14,1,2.63905732961526,"B"
"39","EG","F","Ground","S1S",2017,"11/5/18",6,39,"R6 P39 11/5/18 (V3)","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"40","EG","F","Ground","S1S",2018,"16/5/18",4,24,"Juan-8","V","V","HB",1,1,"6/8/18",NA,1.55,NA,1,NA,NA,"","Visitor1","H N 75","H","N",75,1,4.31748811353631,"B"
"41","EG","F","Ground","S1S",2018,"14/5/18",2,35,"Juan-1","V","V","HB",1,1,"31/8/18",NA,0.38,NA,1,NA,NA,"","Visitor1","H N 13","H","N",13,1,2.56494935746154,"B"
